Event,Time
Failed,2020-04-06 03:10:39
Reported,2020-04-06 03:12:12
STAFFORD FLT TM Advised,2020-04-06 03:12:24
STAFFORD FLT TM Arrived,2020-04-06 03:12:26
STAFFORD FLT TM Work Completed,2020-04-06 03:12:27
In Order,2020-04-06 03:12:28
Rectified,2020-04-06 03:12:28
Amended,2020-04-06 17:07:19
Coded,2020-04-06 17:07:19
