asset,attribute,date,records_count
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-04,9
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-05,10
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-06,8
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-07,10
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-08,5
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-10,7
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-11,9
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-12,9
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-13,8
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-14,7
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-15,2
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-17,11
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-18,12
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-19,15
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-20,13
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-21,14
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-22,5
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-23,25
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-24,6
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-25,9
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-26,16
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-27,16
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-28,17
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-02-29,9
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-01,1
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-02,6
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-03,9
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-04,13
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-05,14
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-06,13
SYNORTH_DBP3_P762A,Current_Waveform_RN_Length,2020-03-07,5
