Event,Time
Failed,2020-03-15 20:24:38
Reported,2020-03-15 20:30:32
RUGBY FLIGHT ENGINEERS Advised,2020-03-15 20:38:27
RUGBY FLIGHT ENGINEERS Arrived,2020-03-15 20:38:29
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-03-15 20:38:42
STAFFORD FLT TM Advised,2020-03-15 21:43:18
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-03-18 21:32:30
STAFFORD FLT TM Arrived,2020-03-18 21:32:32
STAFFORD FLT TM Advised,2020-04-16 23:05:48
STAFFORD FLT TM Arrived,2020-04-17 04:52:46
STAFFORD FLT TM Advised,2020-04-17 07:07:51
STAFFORD FLT TM Arrived,2020-04-17 09:00:00
STAFFORD FLT TM Advised,2020-04-18 07:12:49
STOKE CONTROL CENTRE TECHNICIAN Work Completed,2020-05-26 20:41:42
In Order,2020-05-26 20:41:51
Rectified,2020-05-26 20:43:59
Amended,2020-05-26 20:44:25
Coded,2020-05-26 20:44:25
