Event,Time
Failed,2020-05-04 02:37:25
Reported,2020-05-04 02:38:52
STAFFORD FLT TM Advised,2020-05-04 02:39:13
STAFFORD FLT TM Arrived,2020-05-04 02:39:34
In Order,2020-05-04 02:39:36
STAFFORD FLT TM Work Completed,2020-05-04 02:39:36
Rectified,2020-05-04 02:39:37
Amended,2020-05-04 02:40:05
Coded,2020-05-04 02:40:05
