Event,Time
Failed (Fault Number: 877986),2020-01-09 22:13:18
Reported,2020-01-09 22:17:33
WILLESDEN FLT TM Advised,2020-01-09 22:18:32
WILLESDEN FLT TM Arrived,2020-01-09 23:15:00
WILLESDEN FLT TM Work Commenced,2020-01-10 00:03:00
WILLESDEN FLT TM Work Completed,2020-01-10 00:40:00
In Order,2020-01-10 00:40:01
Rectified,2020-01-10 00:40:01
Amended,2020-01-10 03:32:33
Coded,2020-01-10 03:32:33
