Event,Time
Failed,2020-01-18 06:04:00
Reported,2020-01-18 06:06:15
STAFFORD FLT TM Advised,2020-01-18 06:26:46
STAFFORD PW SM Advised,2020-01-18 14:08:15
STAFFORD FLT TM Advised,2020-01-21 10:36:02
STAFFORD FLT TM Advised,2020-01-21 22:11:10
STAFFORD FLT TM Arrived,2020-01-22 00:01:00
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-01-22 03:34:39
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-01-22 03:34:42
STOKE CONTROL CENTRE TECHNICIAN Work Completed,2020-02-04 09:52:40
In Order,2020-02-04 09:52:42
Rectified,2020-02-04 09:52:43
Amended,2020-02-04 09:53:31
Coded,2020-02-04 09:53:31
