Event,Time
Failed,2020-02-13 00:58:18
Reported,2020-02-13 01:00:17
SALTLEY FAULT TEAM Advised,2020-02-13 03:43:03
SALTLEY FAULT TEAM Arrived,2020-02-13 04:15:00
SALTLEY FAULT TEAM Work Commenced,2020-02-13 04:31:00
SALTLEY FAULT TEAM Work Completed,2020-03-26 09:08:00
In Order,2020-03-26 09:08:01
Rectified,2020-03-26 09:08:01
Amended,2020-03-26 10:22:34
Coded,2020-03-26 10:22:34
