route,asset_class,asset_number,work_order_number,work_order_description,raised_date,planned_start_date,completed_date,fault_code,extended_text,defect_desc,completion_comments
LNW South,Signalling - TC - DC,563463,60410365,TRACK CIRCUITS: DC MEDIUM VOLTAGE,2020-03-03,2020-03-13,2020-04-06,,,,
LNW South,Signalling - TC - DC,563463,60410366,TRACK CIRCUITS: DC MEDIUM VOLTAGE,2020-03-03,2020-03-13,2020-04-06,,,,
