attribute
Average_Current_NR
Average_Current_RN
Average_Pressure_NR
Average_Pressure_RN
Current_Waveform_NR_Average
Current_Waveform_NR_Length
Current_Waveform_NR_Peak
Current_Waveform_RN_Average
Current_Waveform_RN_Length
Current_Waveform_RN_Peak
Direction_Operation_NR
Direction_Operation_RN
Fluid_Level
Fluid_Level_Full
Fluid_Level_LoLo
Invalid_Swing_Count
Motor_Running_Dur_NR
Motor_Running_Dur_RN
Movement_Direction_Indicator
Peak_Current_NR
Peak_Current_RN
Peak_Pressure_NR
Peak_Pressure_RN
Pressure_Waveform_NR_Average
Pressure_Waveform_NR_Length
Pressure_Waveform_NR_Peak
Pressure_Waveform_RN_Average
Pressure_Waveform_RN_Length
Pressure_Waveform_RN_Peak
Relay_Based_Duration_NR
Relay_Based_Duration_RN
Total_Operations
Total_Operations_NR
Total_Operations_RN
