Event,Time
Failed (Fault Number: 891490),2020-05-21 09:32:00
Reported,2020-05-21 09:44:45
SALTLEY FAULT TEAM Advised,2020-05-21 09:44:51
SALTLEY FAULT TEAM Arrived,2020-05-21 10:00:00
SALTLEY FAULT TEAM Work Commenced,2020-05-21 10:15:00
SALTLEY FAULT TEAM Work Completed,2020-05-21 12:20:00
In Order,2020-05-21 12:20:01
Rectified,2020-05-21 12:20:01
Amended,2020-05-27 19:05:18
Coded,2020-05-27 19:05:18
