asset,attribute,date,records_count
NEWST_RBS2_P604C_D,Average_Current_NR,2020-01-21,6
NEWST_RBS2_P604C_D,Average_Current_NR,2020-01-24,2
NEWST_RBS2_P604C_D,Average_Current_NR,2020-02-06,4
NEWST_RBS2_P604C_D,Average_Current_NR,2020-02-21,4
NEWST_RBS2_P604C_D,Average_Current_NR,2020-05-15,4
NEWST_RBS2_P604C_D,Average_Current_RN,2020-01-21,5
NEWST_RBS2_P604C_D,Average_Current_RN,2020-01-24,2
NEWST_RBS2_P604C_D,Average_Current_RN,2020-02-06,4
NEWST_RBS2_P604C_D,Average_Current_RN,2020-02-21,4
NEWST_RBS2_P604C_D,Average_Current_RN,2020-05-15,4
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-01,1958
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-02,2477
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-03,1699
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-04,4870
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-05,3020
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-06,2428
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-07,3882
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-08,3156
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-09,2950
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-10,4662
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-11,4072
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-12,1461
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-13,3641
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-14,1713
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-15,3013
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-16,2198
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-17,3107
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-18,3591
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-19,2086
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-20,5452
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-21,2533
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-22,3219
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-23,4295
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-24,3878
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-25,6374
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-26,1710
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-27,3594
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-28,3526
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-29,2422
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-30,6305
NEWST_RBS2_P604C_D,Current_Waveform_NR,2020-01-31,3132
