Event,Time
Failed,2020-05-19 07:38:18
Reported,2020-05-19 07:40:33
SALTLEY FAULT TEAM Advised,2020-05-19 07:40:44
SALTLEY FAULT TEAM Arrived,2020-05-19 08:05:00
SALTLEY FAULT TEAM Work Commenced,2020-05-19 08:15:00
SALTLEY FAULT TEAM Work Completed,2020-05-19 09:05:00
In Order,2020-05-19 09:05:01
Rectified,2020-05-19 09:05:01
Amended,2020-05-27 18:36:46
Coded,2020-05-27 18:36:46
