Event,Time
Failed (Fault Number: 884138),2020-03-02 22:59:48
Reported,2020-03-02 23:01:29
NEW ST MTCE & FLT Advised,2020-03-02 23:02:54
NEW ST MTCE & FLT Arrived,2020-03-03 00:45:00
NEW ST MTCE & FLT Work Commenced,2020-03-03 00:51:00
NEW ST MTCE & FLT Work Completed,2020-03-03 03:28:00
In Order,2020-03-03 03:28:01
Rectified,2020-03-03 03:28:01
Amended,2020-03-05 12:28:09
Coded,2020-03-05 12:28:10
