Event,Time
Failed (Fault Number: 881770),2020-02-11 18:24:39
Reported,2020-02-11 18:25:59
STAFFORD FLT TM Advised,2020-02-11 18:28:32
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-02-11 18:29:53
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-02-11 18:29:57
STAFFORD FLT TM Arrived,2020-03-11 19:29:32
STAFFORD FLT TM Work Completed,2020-03-11 19:29:33
In Order,2020-03-11 19:29:36
Rectified,2020-03-11 19:29:38
Coded,2020-03-11 19:30:15
Amended,2020-03-11 19:30:16
