Event,Time
Failed,2020-02-17 18:53:03
Reported,2020-02-17 18:53:59
WILLESDEN FLT TM Advised,2020-02-17 18:56:17
WILLESDEN FLT TM Arrived,2020-02-17 20:18:00
WILLESDEN FLT TM Work Completed,2020-02-17 20:42:00
In Order,2020-02-17 20:42:01
Rectified,2020-02-17 20:42:01
Amended,2020-02-17 21:52:16
Coded,2020-02-17 21:52:16
