asset,attribute,date,records_count
35M4_CMD2_t145,Circuit_Current,2020-01-01,955
35M4_CMD2_t145,Circuit_Current,2020-01-02,987
35M4_CMD2_t145,Circuit_Current,2020-01-03,1057
35M4_CMD2_t145,Circuit_Current,2020-01-04,879
35M4_CMD2_t145,Circuit_Current,2020-01-05,439
35M4_CMD2_t145,Circuit_Current,2020-01-06,979
35M4_CMD2_t145,Circuit_Current,2020-01-07,777
35M4_CMD2_t145,Circuit_Current,2020-01-08,873
35M4_CMD2_t145,Circuit_Current,2020-01-09,960
35M4_CMD2_t145,Circuit_Current,2020-01-10,945
35M4_CMD2_t145,Circuit_Current,2020-01-11,946
35M4_CMD2_t145,Circuit_Current,2020-01-12,467
35M4_CMD2_t145,Circuit_Current,2020-01-13,613
35M4_CMD2_t145,Circuit_Current,2020-01-14,898
35M4_CMD2_t145,Circuit_Current,2020-01-15,944
35M4_CMD2_t145,Circuit_Current,2020-01-16,918
35M4_CMD2_t145,Circuit_Current,2020-01-17,934
35M4_CMD2_t145,Circuit_Current,2020-01-18,784
35M4_CMD2_t145,Circuit_Current,2020-01-19,535
35M4_CMD2_t145,Circuit_Current,2020-01-20,915
35M4_CMD2_t145,Circuit_Current,2020-01-21,938
35M4_CMD2_t145,Circuit_Current,2020-01-22,893
35M4_CMD2_t145,Circuit_Current,2020-01-23,940
35M4_CMD2_t145,Circuit_Current,2020-01-24,951
35M4_CMD2_t145,Circuit_Current,2020-01-25,907
35M4_CMD2_t145,Circuit_Current,2020-01-26,434
35M4_CMD2_t145,Circuit_Current,2020-01-27,635
35M4_CMD2_t145,Circuit_Current,2020-01-28,878
35M4_CMD2_t145,Circuit_Current,2020-01-29,816
35M4_CMD2_t145,Circuit_Current,2020-01-30,843
35M4_CMD2_t145,Circuit_Current,2020-01-31,951
35M4_CMD2_t145,Circuit_Current,2020-02-01,915
35M4_CMD2_t145,Circuit_Current,2020-02-02,736
35M4_CMD2_t145,Circuit_Current,2020-02-03,880
35M4_CMD2_t145,Circuit_Current,2020-02-04,1005
35M4_CMD2_t145,Circuit_Current,2020-02-05,933
35M4_CMD2_t145,Circuit_Current,2020-02-06,950
35M4_CMD2_t145,Circuit_Current,2020-02-07,941
35M4_CMD2_t145,Circuit_Current,2020-02-08,902
35M4_CMD2_t145,Circuit_Current,2020-02-09,301
35M4_CMD2_t145,Circuit_Current,2020-02-10,770
35M4_CMD2_t145,Circuit_Current,2020-02-11,1218
35M4_CMD2_t145,Circuit_Current,2020-02-12,3337
35M4_CMD2_t145,Circuit_Current,2020-02-13,1278
35M4_CMD2_t145,Circuit_Current,2020-02-14,896
35M4_CMD2_t145,Circuit_Current,2020-02-15,707
35M4_CMD2_t145,Circuit_Current,2020-02-16,760
35M4_CMD2_t145,Circuit_Current,2020-02-17,809
35M4_CMD2_t145,Circuit_Current,2020-02-18,811
35M4_CMD2_t145,Circuit_Current,2020-02-19,824
35M4_CMD2_t145,Circuit_Current,2020-02-20,783
35M4_CMD2_t145,Circuit_Current,2020-02-21,902
35M4_CMD2_t145,Circuit_Current,2020-02-22,802
35M4_CMD2_t145,Circuit_Current,2020-02-23,638
35M4_CMD2_t145,Circuit_Current,2020-02-24,877
35M4_CMD2_t145,Circuit_Current,2020-02-25,786
35M4_CMD2_t145,Circuit_Current,2020-02-26,835
35M4_CMD2_t145,Circuit_Current,2020-02-27,869
35M4_CMD2_t145,Circuit_Current,2020-02-28,813
35M4_CMD2_t145,Circuit_Current,2020-02-29,481
35M4_CMD2_t145,Circuit_Current,2020-03-01,841
35M4_CMD2_t145,Circuit_Current,2020-03-02,1040
35M4_CMD2_t145,Circuit_Current,2020-03-03,1004
35M4_CMD2_t145,Circuit_Current,2020-03-04,1125
35M4_CMD2_t145,Circuit_Current,2020-03-05,1222
35M4_CMD2_t145,Circuit_Current,2020-03-06,1076
35M4_CMD2_t145,Circuit_Current,2020-03-07,735
35M4_CMD2_t145,Circuit_Current,2020-03-08,373
35M4_CMD2_t145,Circuit_Current,2020-03-09,441
35M4_CMD2_t145,Circuit_Current,2020-03-10,399
35M4_CMD2_t145,Circuit_Current,2020-03-11,834
35M4_CMD2_t145,Circuit_Current,2020-03-12,810
35M4_CMD2_t145,Circuit_Current,2020-03-13,846
35M4_CMD2_t145,Circuit_Current,2020-03-14,792
35M4_CMD2_t145,Circuit_Current,2020-03-15,655
35M4_CMD2_t145,Circuit_Current,2020-03-16,840
35M4_CMD2_t145,Circuit_Current,2020-03-17,703
35M4_CMD2_t145,Circuit_Current,2020-03-18,732
35M4_CMD2_t145,Circuit_Current,2020-03-19,894
35M4_CMD2_t145,Circuit_Current,2020-03-20,824
35M4_CMD2_t145,Circuit_Current,2020-03-21,743
35M4_CMD2_t145,Circuit_Current,2020-03-22,504
35M4_CMD2_t145,Circuit_Current,2020-03-23,471
35M4_CMD2_t145,Circuit_Current,2020-03-24,472
35M4_CMD2_t145,Circuit_Current,2020-03-25,498
35M4_CMD2_t145,Circuit_Current,2020-03-26,498
35M4_CMD2_t145,Circuit_Current,2020-03-27,532
35M4_CMD2_t145,Circuit_Current,2020-03-28,442
35M4_CMD2_t145,Circuit_Current,2020-03-29,410
35M4_CMD2_t145,Circuit_Current,2020-03-30,473
35M4_CMD2_t145,Circuit_Current,2020-03-31,524
35M4_CMD2_t145,Circuit_Current,2020-04-01,467
35M4_CMD2_t145,Circuit_Current,2020-04-02,493
35M4_CMD2_t145,Circuit_Current,2020-04-03,466
35M4_CMD2_t145,Circuit_Current,2020-04-04,445
35M4_CMD2_t145,Circuit_Current,2020-04-05,380
35M4_CMD2_t145,Circuit_Current,2020-04-06,461
35M4_CMD2_t145,Circuit_Current,2020-04-07,477
35M4_CMD2_t145,Circuit_Current,2020-04-08,379
35M4_CMD2_t145,Circuit_Current,2020-04-09,462
35M4_CMD2_t145,Circuit_Current,2020-04-10,476
35M4_CMD2_t145,Circuit_Current,2020-04-11,443
35M4_CMD2_t145,Circuit_Current,2020-04-12,391
35M4_CMD2_t145,Circuit_Current,2020-04-13,449
35M4_CMD2_t145,Circuit_Current,2020-04-14,479
35M4_CMD2_t145,Circuit_Current,2020-04-15,542
35M4_CMD2_t145,Circuit_Current,2020-04-16,475
35M4_CMD2_t145,Circuit_Current,2020-04-17,468
35M4_CMD2_t145,Circuit_Current,2020-04-18,398
35M4_CMD2_t145,Circuit_Current,2020-04-20,508
35M4_CMD2_t145,Circuit_Current,2020-04-21,477
35M4_CMD2_t145,Circuit_Current,2020-04-22,476
35M4_CMD2_t145,Circuit_Current,2020-04-23,476
35M4_CMD2_t145,Circuit_Current,2020-04-24,477
35M4_CMD2_t145,Circuit_Current,2020-04-25,447
35M4_CMD2_t145,Circuit_Current,2020-04-26,384
35M4_CMD2_t145,Circuit_Current,2020-04-27,482
35M4_CMD2_t145,Circuit_Current,2020-04-28,435
35M4_CMD2_t145,Circuit_Current,2020-04-29,449
35M4_CMD2_t145,Circuit_Current,2020-04-30,505
35M4_CMD2_t145,Circuit_Current,2020-05-01,474
35M4_CMD2_t145,Circuit_Current,2020-05-02,361
35M4_CMD2_t145,Circuit_Current,2020-05-03,358
35M4_CMD2_t145,Circuit_Current,2020-05-04,485
35M4_CMD2_t145,Circuit_Current,2020-05-05,480
35M4_CMD2_t145,Circuit_Current,2020-05-06,479
35M4_CMD2_t145,Circuit_Current,2020-05-07,511
35M4_CMD2_t145,Circuit_Current,2020-05-08,508
35M4_CMD2_t145,Circuit_Current,2020-05-09,450
35M4_CMD2_t145,Circuit_Current,2020-05-10,389
35M4_CMD2_t145,Circuit_Current,2020-05-11,475
35M4_CMD2_t145,Circuit_Current,2020-05-12,477
35M4_CMD2_t145,Circuit_Current,2020-05-13,474
35M4_CMD2_t145,Circuit_Current,2020-05-14,513
35M4_CMD2_t145,Circuit_Current,2020-05-15,476
