asset,attribute,date,records_count
36M4_CMD2_t156,Circuit_Current,2020-01-01,732
36M4_CMD2_t156,Circuit_Current,2020-01-02,851
36M4_CMD2_t156,Circuit_Current,2020-01-03,806
36M4_CMD2_t156,Circuit_Current,2020-01-04,730
36M4_CMD2_t156,Circuit_Current,2020-01-05,389
36M4_CMD2_t156,Circuit_Current,2020-01-06,780
36M4_CMD2_t156,Circuit_Current,2020-01-07,666
36M4_CMD2_t156,Circuit_Current,2020-01-08,726
36M4_CMD2_t156,Circuit_Current,2020-01-09,803
36M4_CMD2_t156,Circuit_Current,2020-01-10,806
36M4_CMD2_t156,Circuit_Current,2020-01-11,728
36M4_CMD2_t156,Circuit_Current,2020-01-12,355
36M4_CMD2_t156,Circuit_Current,2020-01-13,460
36M4_CMD2_t156,Circuit_Current,2020-01-14,728
36M4_CMD2_t156,Circuit_Current,2020-01-15,802
36M4_CMD2_t156,Circuit_Current,2020-01-16,763
36M4_CMD2_t156,Circuit_Current,2020-01-17,757
36M4_CMD2_t156,Circuit_Current,2020-01-18,740
36M4_CMD2_t156,Circuit_Current,2020-01-19,411
36M4_CMD2_t156,Circuit_Current,2020-01-20,802
36M4_CMD2_t156,Circuit_Current,2020-01-21,761
36M4_CMD2_t156,Circuit_Current,2020-01-22,720
36M4_CMD2_t156,Circuit_Current,2020-01-23,745
36M4_CMD2_t156,Circuit_Current,2020-01-24,774
36M4_CMD2_t156,Circuit_Current,2020-01-25,701
36M4_CMD2_t156,Circuit_Current,2020-01-26,310
36M4_CMD2_t156,Circuit_Current,2020-01-27,443
36M4_CMD2_t156,Circuit_Current,2020-01-28,677
36M4_CMD2_t156,Circuit_Current,2020-01-29,722
36M4_CMD2_t156,Circuit_Current,2020-01-30,720
36M4_CMD2_t156,Circuit_Current,2020-01-31,754
36M4_CMD2_t156,Circuit_Current,2020-02-01,721
36M4_CMD2_t156,Circuit_Current,2020-02-02,575
36M4_CMD2_t156,Circuit_Current,2020-02-03,781
36M4_CMD2_t156,Circuit_Current,2020-02-04,822
36M4_CMD2_t156,Circuit_Current,2020-02-05,776
36M4_CMD2_t156,Circuit_Current,2020-02-06,865
36M4_CMD2_t156,Circuit_Current,2020-02-07,728
36M4_CMD2_t156,Circuit_Current,2020-02-08,724
36M4_CMD2_t156,Circuit_Current,2020-02-09,226
36M4_CMD2_t156,Circuit_Current,2020-02-10,702
36M4_CMD2_t156,Circuit_Current,2020-02-11,752
36M4_CMD2_t156,Circuit_Current,2020-02-12,740
36M4_CMD2_t156,Circuit_Current,2020-02-13,707
36M4_CMD2_t156,Circuit_Current,2020-02-14,746
36M4_CMD2_t156,Circuit_Current,2020-02-15,612
36M4_CMD2_t156,Circuit_Current,2020-02-16,511
36M4_CMD2_t156,Circuit_Current,2020-02-17,767
36M4_CMD2_t156,Circuit_Current,2020-02-18,756
36M4_CMD2_t156,Circuit_Current,2020-02-19,688
36M4_CMD2_t156,Circuit_Current,2020-02-20,687
36M4_CMD2_t156,Circuit_Current,2020-02-21,786
36M4_CMD2_t156,Circuit_Current,2020-02-22,671
36M4_CMD2_t156,Circuit_Current,2020-02-23,531
36M4_CMD2_t156,Circuit_Current,2020-02-24,763
36M4_CMD2_t156,Circuit_Current,2020-02-25,721
36M4_CMD2_t156,Circuit_Current,2020-02-26,687
36M4_CMD2_t156,Circuit_Current,2020-02-27,718
36M4_CMD2_t156,Circuit_Current,2020-02-28,721
36M4_CMD2_t156,Circuit_Current,2020-02-29,451
36M4_CMD2_t156,Circuit_Current,2020-03-01,591
36M4_CMD2_t156,Circuit_Current,2020-03-02,785
36M4_CMD2_t156,Circuit_Current,2020-03-03,719
36M4_CMD2_t156,Circuit_Current,2020-03-04,715
36M4_CMD2_t156,Circuit_Current,2020-03-05,785
36M4_CMD2_t156,Circuit_Current,2020-03-06,726
36M4_CMD2_t156,Circuit_Current,2020-03-07,654
36M4_CMD2_t156,Circuit_Current,2020-03-08,325
36M4_CMD2_t156,Circuit_Current,2020-03-09,413
36M4_CMD2_t156,Circuit_Current,2020-03-10,354
36M4_CMD2_t156,Circuit_Current,2020-03-11,809
36M4_CMD2_t156,Circuit_Current,2020-03-12,767
36M4_CMD2_t156,Circuit_Current,2020-03-13,741
36M4_CMD2_t156,Circuit_Current,2020-03-14,715
36M4_CMD2_t156,Circuit_Current,2020-03-15,529
36M4_CMD2_t156,Circuit_Current,2020-03-16,777
36M4_CMD2_t156,Circuit_Current,2020-03-17,626
36M4_CMD2_t156,Circuit_Current,2020-03-18,743
36M4_CMD2_t156,Circuit_Current,2020-03-19,795
36M4_CMD2_t156,Circuit_Current,2020-03-20,706
36M4_CMD2_t156,Circuit_Current,2020-03-21,653
36M4_CMD2_t156,Circuit_Current,2020-03-22,444
36M4_CMD2_t156,Circuit_Current,2020-03-23,1
36M4_CMD2_t156,Circuit_Current,2020-03-24,333
36M4_CMD2_t156,Circuit_Current,2020-03-25,388
36M4_CMD2_t156,Circuit_Current,2020-03-26,396
36M4_CMD2_t156,Circuit_Current,2020-03-27,416
36M4_CMD2_t156,Circuit_Current,2020-03-28,389
36M4_CMD2_t156,Circuit_Current,2020-03-29,345
36M4_CMD2_t156,Circuit_Current,2020-03-30,420
36M4_CMD2_t156,Circuit_Current,2020-03-31,426
36M4_CMD2_t156,Circuit_Current,2020-04-01,397
36M4_CMD2_t156,Circuit_Current,2020-04-02,396
36M4_CMD2_t156,Circuit_Current,2020-04-03,363
36M4_CMD2_t156,Circuit_Current,2020-04-04,393
36M4_CMD2_t156,Circuit_Current,2020-04-05,356
36M4_CMD2_t156,Circuit_Current,2020-04-06,385
36M4_CMD2_t156,Circuit_Current,2020-04-07,392
36M4_CMD2_t156,Circuit_Current,2020-04-08,283
36M4_CMD2_t156,Circuit_Current,2020-04-09,409
36M4_CMD2_t156,Circuit_Current,2020-04-10,387
36M4_CMD2_t156,Circuit_Current,2020-04-11,332
36M4_CMD2_t156,Circuit_Current,2020-04-12,335
36M4_CMD2_t156,Circuit_Current,2020-04-13,368
36M4_CMD2_t156,Circuit_Current,2020-04-14,359
36M4_CMD2_t156,Circuit_Current,2020-04-15,406
36M4_CMD2_t156,Circuit_Current,2020-04-16,361
36M4_CMD2_t156,Circuit_Current,2020-04-17,387
36M4_CMD2_t156,Circuit_Current,2020-04-18,353
36M4_CMD2_t156,Circuit_Current,2020-04-20,390
36M4_CMD2_t156,Circuit_Current,2020-04-21,389
36M4_CMD2_t156,Circuit_Current,2020-04-22,384
36M4_CMD2_t156,Circuit_Current,2020-04-23,421
36M4_CMD2_t156,Circuit_Current,2020-04-24,387
36M4_CMD2_t156,Circuit_Current,2020-04-25,363
36M4_CMD2_t156,Circuit_Current,2020-04-26,361
36M4_CMD2_t156,Circuit_Current,2020-04-27,424
36M4_CMD2_t156,Circuit_Current,2020-04-28,360
36M4_CMD2_t156,Circuit_Current,2020-04-29,368
36M4_CMD2_t156,Circuit_Current,2020-04-30,439
36M4_CMD2_t156,Circuit_Current,2020-05-01,390
36M4_CMD2_t156,Circuit_Current,2020-05-02,283
36M4_CMD2_t156,Circuit_Current,2020-05-03,287
36M4_CMD2_t156,Circuit_Current,2020-05-04,394
36M4_CMD2_t156,Circuit_Current,2020-05-05,371
36M4_CMD2_t156,Circuit_Current,2020-05-06,386
36M4_CMD2_t156,Circuit_Current,2020-05-07,417
36M4_CMD2_t156,Circuit_Current,2020-05-08,412
36M4_CMD2_t156,Circuit_Current,2020-05-09,360
36M4_CMD2_t156,Circuit_Current,2020-05-10,371
36M4_CMD2_t156,Circuit_Current,2020-05-11,396
36M4_CMD2_t156,Circuit_Current,2020-05-12,395
36M4_CMD2_t156,Circuit_Current,2020-05-13,387
36M4_CMD2_t156,Circuit_Current,2020-05-14,402
36M4_CMD2_t156,Circuit_Current,2020-05-15,420
36M4_CMD2_t156,Circuit_Current,2020-05-16,366
36M4_CMD2_t156,Circuit_Current,2020-05-17,359
36M4_CMD2_t156,Circuit_Current,2020-05-18,403
36M4_CMD2_t156,Circuit_Current,2020-05-19,405
36M4_CMD2_t156,Circuit_Current,2020-05-20,403
36M4_CMD2_t156,Circuit_Current,2020-05-21,400
36M4_CMD2_t156,Circuit_Current,2020-05-22,414
36M4_CMD2_t156,Circuit_Current,2020-05-23,378
36M4_CMD2_t156,Circuit_Current,2020-05-24,426
36M4_CMD2_t156,Circuit_Current,2020-05-25,503
36M4_CMD2_t156,Circuit_Current,2020-05-26,412
36M4_CMD2_t156,Circuit_Current,2020-05-27,377
36M4_CMD2_t156,Circuit_Current,2020-05-28,429
36M4_CMD2_t156,Circuit_Current,2020-05-29,374
36M4_CMD2_t156,Circuit_Current,2020-05-30,358
36M4_CMD2_t156,Circuit_Current,2020-05-31,332
36M4_CMD2_t156,Circuit_Current,2020-06-01,429
36M4_CMD2_t156,Circuit_Current,2020-06-02,403
36M4_CMD2_t156,Circuit_Current,2020-06-03,377
36M4_CMD2_t156,Circuit_Current,2020-06-04,374
36M4_CMD2_t156,Circuit_Current,2020-06-05,401
36M4_CMD2_t156,Circuit_Current,2020-06-06,333
36M4_CMD2_t156,Circuit_Current,2020-06-07,358
36M4_CMD2_t156,Circuit_Current,2020-06-08,431
36M4_CMD2_t156,Circuit_Current,2020-06-09,403
36M4_CMD2_t156,Circuit_Current,2020-06-10,400
36M4_CMD2_t156,Circuit_Current,2020-06-11,487
36M4_CMD2_t156,Circuit_Current,2020-06-12,390
36M4_CMD2_t156,Circuit_Current,2020-06-13,350
36M4_CMD2_t156,Circuit_Current,2020-06-14,354
36M4_CMD2_t156,Circuit_Current,2020-06-15,455
36M4_CMD2_t156,Circuit_Current,2020-06-16,416
36M4_CMD2_t156,Circuit_Current,2020-06-17,413
36M4_CMD2_t156,Circuit_Current,2020-06-18,308
36M4_CMD2_t156,Circuit_Current,2020-06-19,396
36M4_CMD2_t156,Circuit_Current,2020-06-20,352
36M4_CMD2_t156,Circuit_Current,2020-06-21,352
36M4_CMD2_t156,Circuit_Current,2020-06-22,403
36M4_CMD2_t156,Circuit_Current,2020-06-23,404
36M4_CMD2_t156,Circuit_Current,2020-06-24,378
36M4_CMD2_t156,Circuit_Current,2020-06-25,427
36M4_CMD2_t156,Circuit_Current,2020-06-26,426
36M4_CMD2_t156,Circuit_Current,2020-06-27,343
36M4_CMD2_t156,Circuit_Current,2020-06-28,350
36M4_CMD2_t156,Circuit_Current,2020-06-29,404
36M4_CMD2_t156,Circuit_Current,2020-06-30,380
36M4_CMD2_t156,Circuit_Current,2020-07-01,376
36M4_CMD2_t156,Circuit_Current,2020-07-02,299
36M4_CMD2_t156,Circuit_Current,2020-07-03,396
36M4_CMD2_t156,Circuit_Current,2020-07-04,434
36M4_CMD2_t156,Circuit_Current,2020-07-05,323
36M4_CMD2_t156,Circuit_Current,2020-07-06,799
36M4_CMD2_t156,Clear_Occupied_Clear_Flick_Count,2020-01-24,4
36M4_CMD2_t156,Clear_Occupied_Clear_Flick_Count,2020-02-06,4
36M4_CMD2_t156,Clear_Occupied_Clear_Flick_Count,2020-02-07,2
36M4_CMD2_t156,Clear_Occupied_Clear_Flick_Count,2020-02-21,4
36M4_CMD2_t156,Clear_Occupied_Clear_Flick_Count,2020-05-15,6
36M4_CMD2_t156,Excess_Current,2020-01-24,2
36M4_CMD2_t156,Excess_Current,2020-02-06,2
36M4_CMD2_t156,Excess_Current,2020-02-07,1
36M4_CMD2_t156,Excess_Current,2020-02-21,2
36M4_CMD2_t156,Excess_Current,2020-05-15,3
36M4_CMD2_t156,High_Occupied_Current_Count,2020-01-24,4
36M4_CMD2_t156,High_Occupied_Current_Count,2020-02-06,3
36M4_CMD2_t156,High_Occupied_Current_Count,2020-02-07,2
36M4_CMD2_t156,High_Occupied_Current_Count,2020-02-21,4
36M4_CMD2_t156,High_Occupied_Current_Count,2020-05-15,5
36M4_CMD2_t156,Low_Clear_Current_Count,2020-01-24,4
36M4_CMD2_t156,Low_Clear_Current_Count,2020-02-06,4
36M4_CMD2_t156,Low_Clear_Current_Count,2020-02-07,2
36M4_CMD2_t156,Low_Clear_Current_Count,2020-02-21,4
36M4_CMD2_t156,Low_Clear_Current_Count,2020-05-15,6
36M4_CMD2_t156,Occupied_Clear_Occupied_Flick_Count,2020-01-24,4
36M4_CMD2_t156,Occupied_Clear_Occupied_Flick_Count,2020-02-06,4
36M4_CMD2_t156,Occupied_Clear_Occupied_Flick_Count,2020-02-07,2
36M4_CMD2_t156,Occupied_Clear_Occupied_Flick_Count,2020-02-21,4
36M4_CMD2_t156,Occupied_Clear_Occupied_Flick_Count,2020-05-15,6
36M4_CMD2_t156,Poor_Shunt_Count,2020-01-24,4
36M4_CMD2_t156,Poor_Shunt_Count,2020-02-06,3
36M4_CMD2_t156,Poor_Shunt_Count,2020-02-07,2
36M4_CMD2_t156,Poor_Shunt_Count,2020-02-21,4
36M4_CMD2_t156,Poor_Shunt_Count,2020-05-15,5
36M4_CMD2_t156,Total_Occupations_Count,2020-01-01,28
36M4_CMD2_t156,Total_Occupations_Count,2020-01-02,33
36M4_CMD2_t156,Total_Occupations_Count,2020-01-03,32
36M4_CMD2_t156,Total_Occupations_Count,2020-01-04,28
36M4_CMD2_t156,Total_Occupations_Count,2020-01-05,15
36M4_CMD2_t156,Total_Occupations_Count,2020-01-06,30
36M4_CMD2_t156,Total_Occupations_Count,2020-01-07,28
36M4_CMD2_t156,Total_Occupations_Count,2020-01-08,29
36M4_CMD2_t156,Total_Occupations_Count,2020-01-09,32
36M4_CMD2_t156,Total_Occupations_Count,2020-01-10,31
36M4_CMD2_t156,Total_Occupations_Count,2020-01-11,28
36M4_CMD2_t156,Total_Occupations_Count,2020-01-12,14
36M4_CMD2_t156,Total_Occupations_Count,2020-01-13,19
36M4_CMD2_t156,Total_Occupations_Count,2020-01-14,30
36M4_CMD2_t156,Total_Occupations_Count,2020-01-15,31
36M4_CMD2_t156,Total_Occupations_Count,2020-01-16,31
36M4_CMD2_t156,Total_Occupations_Count,2020-01-17,31
36M4_CMD2_t156,Total_Occupations_Count,2020-01-18,29
36M4_CMD2_t156,Total_Occupations_Count,2020-01-19,16
36M4_CMD2_t156,Total_Occupations_Count,2020-01-20,31
36M4_CMD2_t156,Total_Occupations_Count,2020-01-21,30
36M4_CMD2_t156,Total_Occupations_Count,2020-01-22,30
36M4_CMD2_t156,Total_Occupations_Count,2020-01-23,30
36M4_CMD2_t156,Total_Occupations_Count,2020-01-24,31
36M4_CMD2_t156,Total_Occupations_Count,2020-01-25,29
36M4_CMD2_t156,Total_Occupations_Count,2020-01-26,13
36M4_CMD2_t156,Total_Occupations_Count,2020-01-27,19
36M4_CMD2_t156,Total_Occupations_Count,2020-01-28,27
36M4_CMD2_t156,Total_Occupations_Count,2020-01-29,28
36M4_CMD2_t156,Total_Occupations_Count,2020-01-30,28
36M4_CMD2_t156,Total_Occupations_Count,2020-01-31,31
36M4_CMD2_t156,Total_Occupations_Count,2020-02-01,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-02,23
36M4_CMD2_t156,Total_Occupations_Count,2020-02-03,30
36M4_CMD2_t156,Total_Occupations_Count,2020-02-04,31
36M4_CMD2_t156,Total_Occupations_Count,2020-02-05,30
36M4_CMD2_t156,Total_Occupations_Count,2020-02-06,34
36M4_CMD2_t156,Total_Occupations_Count,2020-02-07,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-08,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-09,9
36M4_CMD2_t156,Total_Occupations_Count,2020-02-10,29
36M4_CMD2_t156,Total_Occupations_Count,2020-02-11,29
36M4_CMD2_t156,Total_Occupations_Count,2020-02-12,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-13,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-14,30
36M4_CMD2_t156,Total_Occupations_Count,2020-02-15,26
36M4_CMD2_t156,Total_Occupations_Count,2020-02-16,21
36M4_CMD2_t156,Total_Occupations_Count,2020-02-17,31
36M4_CMD2_t156,Total_Occupations_Count,2020-02-18,31
36M4_CMD2_t156,Total_Occupations_Count,2020-02-19,29
36M4_CMD2_t156,Total_Occupations_Count,2020-02-20,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-21,32
36M4_CMD2_t156,Total_Occupations_Count,2020-02-22,27
36M4_CMD2_t156,Total_Occupations_Count,2020-02-23,21
36M4_CMD2_t156,Total_Occupations_Count,2020-02-24,31
36M4_CMD2_t156,Total_Occupations_Count,2020-02-25,29
36M4_CMD2_t156,Total_Occupations_Count,2020-02-26,28
36M4_CMD2_t156,Total_Occupations_Count,2020-02-27,29
36M4_CMD2_t156,Total_Occupations_Count,2020-02-28,31
36M4_CMD2_t156,Total_Occupations_Count,2020-02-29,18
36M4_CMD2_t156,Total_Occupations_Count,2020-03-01,23
36M4_CMD2_t156,Total_Occupations_Count,2020-03-02,30
36M4_CMD2_t156,Total_Occupations_Count,2020-03-03,29
36M4_CMD2_t156,Total_Occupations_Count,2020-03-04,29
36M4_CMD2_t156,Total_Occupations_Count,2020-03-05,30
36M4_CMD2_t156,Total_Occupations_Count,2020-03-06,28
36M4_CMD2_t156,Total_Occupations_Count,2020-03-07,25
36M4_CMD2_t156,Total_Occupations_Count,2020-03-08,13
36M4_CMD2_t156,Total_Occupations_Count,2020-03-09,17
36M4_CMD2_t156,Total_Occupations_Count,2020-03-10,14
36M4_CMD2_t156,Total_Occupations_Count,2020-03-11,32
36M4_CMD2_t156,Total_Occupations_Count,2020-03-12,30
36M4_CMD2_t156,Total_Occupations_Count,2020-03-13,30
36M4_CMD2_t156,Total_Occupations_Count,2020-03-14,28
36M4_CMD2_t156,Total_Occupations_Count,2020-03-15,21
36M4_CMD2_t156,Total_Occupations_Count,2020-03-16,30
36M4_CMD2_t156,Total_Occupations_Count,2020-03-17,24
36M4_CMD2_t156,Total_Occupations_Count,2020-03-18,31
36M4_CMD2_t156,Total_Occupations_Count,2020-03-19,31
36M4_CMD2_t156,Total_Occupations_Count,2020-03-20,27
36M4_CMD2_t156,Total_Occupations_Count,2020-03-21,25
36M4_CMD2_t156,Total_Occupations_Count,2020-03-22,17
36M4_CMD2_t156,Total_Occupations_Count,2020-03-24,13
36M4_CMD2_t156,Total_Occupations_Count,2020-03-25,15
36M4_CMD2_t156,Total_Occupations_Count,2020-03-26,15
36M4_CMD2_t156,Total_Occupations_Count,2020-03-27,16
36M4_CMD2_t156,Total_Occupations_Count,2020-03-28,15
36M4_CMD2_t156,Total_Occupations_Count,2020-03-29,13
36M4_CMD2_t156,Total_Occupations_Count,2020-03-30,16
36M4_CMD2_t156,Total_Occupations_Count,2020-03-31,16
36M4_CMD2_t156,Total_Occupations_Count,2020-04-01,15
36M4_CMD2_t156,Total_Occupations_Count,2020-04-02,15
36M4_CMD2_t156,Total_Occupations_Count,2020-04-03,14
36M4_CMD2_t156,Total_Occupations_Count,2020-04-04,15
36M4_CMD2_t156,Total_Occupations_Count,2020-04-05,14
36M4_CMD2_t156,Total_Occupations_Count,2020-04-06,15
36M4_CMD2_t156,Total_Occupations_Count,2020-04-07,15
36M4_CMD2_t156,Total_Occupations_Count,2020-04-08,11
36M4_CMD2_t156,Total_Occupations_Count,2020-04-09,16
36M4_CMD2_t156,Total_Occupations_Count,2020-04-10,15
36M4_CMD2_t156,Total_Occupations_Count,2020-04-11,13
