Event,Time
Failed (Fault Number: 883712),2020-02-27 19:26:07
Reported,2020-02-27 19:27:45
SALTLEY FAULT TEAM Advised,2020-02-27 19:28:52
SALTLEY FAULT TEAM Advised,2020-02-28 07:15:06
SALTLEY FAULT TEAM Arrived,2020-02-28 07:45:00
SALTLEY FAULT TEAM Work Commenced,2020-02-28 08:00:00
SALTLEY FAULT TEAM Work Completed,2020-02-28 09:09:00
In Order,2020-02-28 09:09:01
Rectified,2020-02-28 09:09:01
Amended,2020-02-28 10:50:44
Coded,2020-02-28 10:50:44
