Event,Time
Failed (Fault Number: 888246),2020-04-16 14:51:16
Reported,2020-04-16 14:53:38
STAFFORD FLT TM Advised,2020-04-16 14:53:44
STAFFORD FLT TM Arrived,2020-05-26 21:06:36
STAFFORD FLT TM Work Completed,2020-05-26 21:06:38
In Order,2020-05-26 21:06:47
Rectified,2020-05-26 21:06:50
Amended,2020-05-26 21:07:37
Coded,2020-05-26 21:07:37
