Event,Time
Failed (Fault Number: 895198),2020-06-22 12:38:39
Reported,2020-06-22 12:41:36
SALTLEY FAULT TEAM Advised,2020-06-22 13:20:25
SALTLEY FAULT TEAM Arrived,2020-06-22 13:20:28
SALTLEY FAULT TEAM Work Commenced,2020-06-22 13:28:00
SALTLEY FAULT TEAM Work Completed,2020-06-28 16:05:01
In Order,2020-06-28 16:07:01
Rectified,2020-06-28 16:07:01
Amended,2020-06-28 16:19:56
Coded,2020-06-28 16:19:57
