asset,attribute,date,records_count
WEMBCENT_LEC1_P2542A,Average_Current_NR,2020-01-24,4
WEMBCENT_LEC1_P2542A,Average_Current_NR,2020-02-06,3
WEMBCENT_LEC1_P2542A,Average_Current_NR,2020-02-07,2
WEMBCENT_LEC1_P2542A,Average_Current_NR,2020-02-21,4
WEMBCENT_LEC1_P2542A,Average_Current_NR,2020-05-15,5
WEMBCENT_LEC1_P2542A,Average_Current_RN,2020-01-24,4
WEMBCENT_LEC1_P2542A,Average_Current_RN,2020-02-06,4
WEMBCENT_LEC1_P2542A,Average_Current_RN,2020-02-07,2
WEMBCENT_LEC1_P2542A,Average_Current_RN,2020-02-21,4
WEMBCENT_LEC1_P2542A,Average_Current_RN,2020-05-15,6
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-02,813
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-03,1407
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-04,1638
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-05,1625
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-06,1412
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-07,798
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-08,1408
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-09,1585
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-10,2172
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-11,193
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-12,201
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-13,1183
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-14,2170
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-15,1770
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-16,1582
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-17,986
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-18,1417
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-19,1012
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-20,1000
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-21,1418
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-22,1596
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-23,1393
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-24,1192
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-25,394
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-26,1185
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-27,1383
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-28,799
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-29,602
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-30,1974
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-01-31,2367
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-01,983
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-02,592
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-03,1582
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-04,1789
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-05,1199
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-06,1799
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-07,1387
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-08,194
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-09,396
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-10,1775
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-11,997
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-12,1388
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-13,2171
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-14,1185
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-15,583
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-16,395
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-17,597
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-18,797
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-19,1387
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-20,1387
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-21,1602
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-22,193
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-23,785
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-24,985
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-25,1801
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-26,2011
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-27,1999
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-28,2439
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-02-29,1810
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-01,1819
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-02,798
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-03,1419
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-04,1607
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-05,1202
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-06,814
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-07,204
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-08,1215
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-09,1024
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-10,1607
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-11,2432
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-12,1425
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-13,1216
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-14,409
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-15,806
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-16,1402
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-17,1616
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-18,1405
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-19,1412
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-20,1022
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-21,206
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-22,420
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-23,1018
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-25,799
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-26,807
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-27,197
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-28,835
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-29,305
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-30,615
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-03-31,1437
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-01,1010
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-02,1006
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-03,809
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-05,803
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-06,800
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-07,1788
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-08,1198
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-09,2184
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-10,1604
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-11,400
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-12,393
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-13,400
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-14,1001
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-15,988
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-16,1201
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-17,398
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-18,799
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-19,199
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-20,607
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-21,598
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-22,804
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-23,594
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-24,1587
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-25,1194
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-26,987
WEMBCENT_LEC1_P2542A,Current_Waveform_NR,2020-04-27,791
