Event,Time
Failed (Fault Number: 891486),2020-05-21 09:19:23
SALTLEY FAULT TEAM Advised,2020-05-21 09:22:00
Reported,2020-05-21 09:26:41
SALTLEY FAULT TEAM Arrived,2021-07-31 06:19:00
SALTLEY FAULT TEAM Work Completed,2021-07-31 06:22:00
In Order,2021-07-31 06:22:01
Rectified,2021-07-31 06:22:01
Amended,2021-07-31 17:59:25
Coded,2021-07-31 17:59:26
