asset,attribute,date,records_count
SYNORTH_DBP3_P760A,Average_Current_NR,2020-01-21,1
SYNORTH_DBP3_P760A,Average_Current_NR,2020-01-24,6
SYNORTH_DBP3_P760A,Average_Current_NR,2020-02-06,2
SYNORTH_DBP3_P760A,Average_Current_NR,2020-02-07,2
SYNORTH_DBP3_P760A,Average_Current_NR,2020-02-21,4
SYNORTH_DBP3_P760A,Average_Current_NR,2020-05-15,5
SYNORTH_DBP3_P760A,Average_Current_RN,2020-01-24,6
SYNORTH_DBP3_P760A,Average_Current_RN,2020-02-06,2
SYNORTH_DBP3_P760A,Average_Current_RN,2020-02-07,2
SYNORTH_DBP3_P760A,Average_Current_RN,2020-02-21,4
SYNORTH_DBP3_P760A,Average_Current_RN,2020-05-15,6
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-01,1081
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-02,1298
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-03,1303
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-04,1106
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-06,2005
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-07,1514
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-08,1735
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-09,1287
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-10,1333
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-11,1098
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-13,1307
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-14,1513
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-15,1530
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-16,1735
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-17,1527
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-18,1129
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-20,1418
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-21,1398
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-22,1356
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-23,1340
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-24,1353
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-25,1128
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-27,1334
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-28,1365
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-29,1628
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-30,1342
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-01-31,1329
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-01,1380
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-03,1619
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-04,1409
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-05,1419
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-06,1684
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-07,1658
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-08,1141
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-09,417
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-10,1620
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-11,1393
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-12,1741
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-13,1588
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-14,1906
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-15,453
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-16,6
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-17,2240
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-18,1108
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-19,1373
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-20,1592
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-21,1380
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-23,14
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-24,2209
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-25,2012
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-26,2738
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-27,2050
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-28,2791
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-02-29,222
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-01,259
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-02,2072
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-03,1342
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-04,2525
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-05,1803
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-06,1402
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-08,451
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-09,1573
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-10,3750
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-11,13758
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-12,1808
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-13,1339
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-14,1097
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-15,2
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-16,1351
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-17,2027
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-18,1541
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-19,1323
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-20,1329
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-21,1349
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-22,987
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-23,1391
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-24,2271
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-25,1136
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-26,1140
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-27,1583
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-28,1339
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-30,1562
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-03-31,1122
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-01,1167
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-02,1142
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-03,1574
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-04,1343
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-05,474
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-06,1129
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-07,1576
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-08,1350
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-09,902
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-10,1125
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-11,1117
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-13,1603
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-14,1168
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-15,1379
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-16,1136
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-17,1140
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-18,1120
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-20,1637
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-21,1143
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-22,1137
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-23,1361
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-24,1360
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-25,1145
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-27,1196
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-28,1123
SYNORTH_DBP3_P760A,Current_Waveform_NR,2020-04-29,1116
