attribute
Average_Input_Current
Circuit_Current
Lower_Side_Band_Input_Current
Output_Relay_Drive_Current
Output_Relay_Drive_Voltage
Side_Band_Ratio
Unit_Internal_Temperature
Upper_Side_Band_Input_Current
