attribute
Clear_Occupied_Clear_Flick_Count
COC_Flick_Count
COC_Lower_Limit
COC_Upper_Limit
Error_Code
Excess_Current
External_Power_Supply_Voltage
High_Occupied_Current_Count
High_Occupied_Current_Count_Value
High_Occupied_Current_Event_Deadband
ITHR
Low_Clear_Current
Low_Clear_Current_Count
Low_Clear_Current_Count_Value
Low_Clear_Current_Event_Deadband
New_Old_ITHR_Ratio
New_Old_ITHR_Ratio_Count
Occupied_Clear_Occupied_Flick_Count
OCO_Flick_Count
OCO_Lower_Limit
OCO_Upper_Limit
Poor_Shunt_Count
Poor_Shunt_Count_Value
Receiver_Status
Total_Occupations_Count
Track_Clear_Level
Track_Occupied_Current
Unstable_Clear_Current_Count
Unstable_Clear_Current_Count_Value
VPSU
WSF_Level
