Event,Time
Failed (Fault Number: 884988),2020-03-11 07:37:34
Reported,2020-03-11 07:41:30
SALTLEY FAULT TEAM Advised,2020-03-11 07:41:37
SALTLEY FAULT TEAM Arrived,2020-03-11 08:15:00
SALTLEY FAULT TEAM Work Completed,2020-03-11 12:44:00
In Order,2020-03-11 12:44:01
Rectified,2020-03-11 12:44:01
Amended,2020-03-22 02:28:22
Coded,2020-03-22 02:28:22
