Event,Time
Failed,2020-02-16 08:35:53
Reported,2020-02-16 08:39:40
STAFFORD FLT TM Advised,2020-02-16 08:39:48
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-02-16 09:20:10
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-02-16 09:20:12
STAFFORD FLT TM Advised,2020-02-18 08:59:09
STOKE CONTROL CENTRE TECHNICIAN Work Completed,2020-05-26 20:32:26
In Order,2020-05-26 20:32:43
Rectified,2020-05-26 20:32:46
Amended,2020-05-26 20:54:25
Coded,2020-05-26 20:54:25
