asset,attribute,date,records_count
122M2_LEC2_t557A,Circuit_Current,2020-01-01,2163
122M2_LEC2_t557A,Circuit_Current,2020-01-02,2997
122M2_LEC2_t557A,Circuit_Current,2020-01-03,3246
122M2_LEC2_t557A,Circuit_Current,2020-01-04,2821
122M2_LEC2_t557A,Circuit_Current,2020-01-05,1885
122M2_LEC2_t557A,Circuit_Current,2020-01-06,2832
122M2_LEC2_t557A,Circuit_Current,2020-01-07,2844
122M2_LEC2_t557A,Circuit_Current,2020-01-08,2864
122M2_LEC2_t557A,Circuit_Current,2020-01-09,3031
122M2_LEC2_t557A,Circuit_Current,2020-01-10,3150
122M2_LEC2_t557A,Circuit_Current,2020-01-11,2659
122M2_LEC2_t557A,Circuit_Current,2020-01-12,1813
122M2_LEC2_t557A,Circuit_Current,2020-01-14,2066
122M2_LEC2_t557A,Circuit_Current,2020-01-15,2975
122M2_LEC2_t557A,Circuit_Current,2020-01-16,3136
122M2_LEC2_t557A,Circuit_Current,2020-01-17,2945
122M2_LEC2_t557A,Circuit_Current,2020-01-18,2865
122M2_LEC2_t557A,Circuit_Current,2020-01-19,1754
122M2_LEC2_t557A,Circuit_Current,2020-01-20,2792
122M2_LEC2_t557A,Circuit_Current,2020-01-21,2862
122M2_LEC2_t557A,Circuit_Current,2020-01-22,3222
122M2_LEC2_t557A,Circuit_Current,2020-01-23,3161
122M2_LEC2_t557A,Circuit_Current,2020-01-24,2801
122M2_LEC2_t557A,Circuit_Current,2020-01-25,2784
122M2_LEC2_t557A,Circuit_Current,2020-01-26,1530
122M2_LEC2_t557A,Circuit_Current,2020-01-27,2810
122M2_LEC2_t557A,Circuit_Current,2020-01-28,2917
122M2_LEC2_t557A,Circuit_Current,2020-01-29,3099
122M2_LEC2_t557A,Circuit_Current,2020-01-30,3068
122M2_LEC2_t557A,Circuit_Current,2020-01-31,3101
122M2_LEC2_t557A,Circuit_Current,2020-02-01,2750
122M2_LEC2_t557A,Circuit_Current,2020-02-02,1908
122M2_LEC2_t557A,Circuit_Current,2020-02-03,2828
122M2_LEC2_t557A,Circuit_Current,2020-02-04,3202
122M2_LEC2_t557A,Circuit_Current,2020-02-05,3302
122M2_LEC2_t557A,Circuit_Current,2020-02-06,3221
122M2_LEC2_t557A,Circuit_Current,2020-02-07,3474
122M2_LEC2_t557A,Circuit_Current,2020-02-08,2774
122M2_LEC2_t557A,Circuit_Current,2020-02-09,2137
122M2_LEC2_t557A,Circuit_Current,2020-02-10,3118
