Event,Time
Failed (Fault Number: 888798),2020-04-22 20:36:55
Reported,2020-04-22 20:38:55
WILLESDEN FLT TM Advised,2020-04-22 20:39:11
WILLESDEN FLT TM Arrived,2020-04-22 20:59:03
WILLESDEN FLT TM Work Completed,2020-04-22 21:07:46
In Order,2020-04-22 21:07:47
Rectified,2020-04-22 21:07:47
Amended,2020-06-04 03:26:24
Coded,2020-06-04 03:26:24
