Event,Time
Failed (Fault Number: 894661),2020-06-17 13:36:31
Reported,2020-06-17 13:37:23
SALTLEY FAULT TEAM Advised,2020-06-17 13:38:37
SALTLEY FAULT TEAM Arrived,2020-06-17 14:12:00
SALTLEY FAULT TEAM Work Commenced,2020-06-17 14:36:00
SALTLEY FAULT TEAM Work Completed,2020-06-17 19:05:00
In Order,2020-06-17 19:05:01
Rectified,2020-06-17 19:05:01
Amended,2020-06-27 16:35:51
Coded,2020-06-27 16:35:51
