Event,Time
Failed (Fault Number: 889321),2020-04-29 01:15:46
Reported,2020-04-29 01:32:52
RUGBY FLT TM Advised,2020-04-29 06:11:36
RUGBY FLT TM Arrived,2020-04-29 07:29:00
RUGBY FLT TM Work Commenced,2020-04-29 07:30:00
RUGBY FLT TM Work Completed,2020-04-29 11:30:00
In Order,2020-04-29 11:30:01
Rectified,2020-04-29 11:30:01
Amended,2020-04-29 11:34:28
Coded,2020-04-29 11:34:28
