asset,attribute,date,records_count
HARLBRID_LEC1_P2418C,Relay_Based_Duration_NR,2020-04-13,14
HARLBRID_LEC1_P2418C,Average_Current_NR,2020-01-24,4
HARLBRID_LEC1_P2418C,Average_Current_NR,2020-02-06,4
HARLBRID_LEC1_P2418C,Average_Current_NR,2020-02-07,2
HARLBRID_LEC1_P2418C,Average_Current_NR,2020-02-21,4
HARLBRID_LEC1_P2418C,Average_Current_NR,2020-05-15,4
HARLBRID_LEC1_P2418C,Average_Current_RN,2020-01-24,4
HARLBRID_LEC1_P2418C,Average_Current_RN,2020-02-06,3
HARLBRID_LEC1_P2418C,Average_Current_RN,2020-02-07,2
HARLBRID_LEC1_P2418C,Average_Current_RN,2020-02-21,4
HARLBRID_LEC1_P2418C,Average_Current_RN,2020-05-15,4
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-01,1047
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-02,4472
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-03,5933
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-04,3908
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-05,619
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-06,4391
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-07,6790
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-08,6596
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-09,6238
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-10,6389
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-11,1936
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-12,1247
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-13,3287
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-14,4033
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-15,4303
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-16,4672
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-17,4172
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-18,2827
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-19,654
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-20,4994
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-21,6800
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-22,7093
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-23,7042
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-24,7034
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-25,3452
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-26,2282
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-27,5565
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-28,7214
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-29,7109
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-30,5175
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-01-31,5582
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-01,5106
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-02,1802
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-03,5689
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-04,7614
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-05,7311
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-06,7529
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-07,7000
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-08,6471
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-09,804
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-10,4436
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-11,7978
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-12,6276
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-13,5222
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-14,7163
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-15,2444
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-16,2467
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-17,6179
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-18,6817
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-19,7610
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-20,6239
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-21,6517
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-22,2037
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-23,615
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-24,4627
HARLBRID_LEC1_P2418C,Current_Waveform_NR,2020-02-25,5010
