Event,Time
Failed (Fault Number: 883450),2020-02-25 10:56:24
Reported,2020-02-25 11:08:54
SALTLEY FAULT TEAM Advised,2020-02-25 11:09:04
SALTLEY FAULT TEAM Arrived,2020-02-25 11:35:00
SALTLEY FAULT TEAM Work Commenced,2020-02-25 11:40:00
SALTLEY FAULT TEAM Work Completed,2020-02-25 12:30:00
In Order,2020-02-25 12:30:01
Rectified,2020-02-25 12:30:01
Amended,2020-03-05 08:27:32
Coded,2020-03-05 08:27:32
