Event,Time
Failed (Fault Number: 889952),2020-05-05 20:04:47
Reported,2020-05-05 20:10:55
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-05-05 20:12:06
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-05-05 20:12:09
STAFFORD FLT TM Advised,2020-05-05 20:12:12
STAFFORD FLT TM Arrived,2020-05-05 22:13:19
STAFFORD FLT TM Advised,2020-05-05 22:13:29
STAFFORD FLT TM Arrived,2020-05-06 04:20:56
STOKE CONTROL CENTRE TECHNICIAN Work Completed,2020-06-03 17:39:51
In Order,2020-06-03 17:39:54
Rectified,2020-06-03 17:39:55
Amended,2020-06-05 03:22:39
Coded,2020-06-05 03:22:39
