Event,Time
Failed (Fault Number: 896839),2020-07-05 12:12:00
Reported,2020-07-05 12:14:18
STAFFORD FLT TM Advised,2020-07-05 12:14:22
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-07-05 12:18:53
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-07-05 12:18:55
STAFFORD FLT TM Arrived,2020-07-05 12:40:00
STAFFORD FLT TM Advised,2020-07-06 15:40:23
STAFFORD FLT TM Arrived,2020-07-06 15:40:25
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-07-11 13:30:08
STAFFORD FLT TM Advised,2020-07-11 20:00:19
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-07-22 10:28:13
STOKE CONTROL CENTRE TECHNICIAN Work Completed,2020-07-22 10:28:17
STAFFORD FLT TM Arrived,2020-07-22 10:28:24
In Order,2020-07-22 10:28:33
Rectified,2020-07-22 10:28:35
Coded,2020-07-22 10:28:45
Amended,2020-07-22 10:28:45
