route,ellipse_asset_class_group_desc,ellipse_asset_class_desc,ellipse_asset_count,fms_failures_count_6m_2020,count_service_affecting_faults_6m_2020,has_radar_percentage
LNW North,Telecoms,Telecoms Site,20,21.0,0.0,0.0
LNW North,Distribution,Circuit Breakers,20,21.0,0.0,0.0
LNW North,Fixed Plant,Point Heater,21,21.0,2.0,0.0
LNW North,Signalling,Platform Indic,18,21.0,0.0,0.0
LNW North,Signalling,Route Ind Jcn,18,20.0,6.0,0.0
LNW North,Signalling,Intlok SS,17,20.0,0.0,0.0
LNW North,Conductor Rail Equipment,KF - Manual Sectioning Device,18,20.0,0.0,0.0
LNW North,Telecoms,Telecoms Remote Monitoring,14,19.0,0.0,0.0
LNW South,Track,Access Point,18,19.0,0.0,0.0
LNW South,Distribution,JV - 25kV Switching Station,16,18.0,2.0,0.0
LNW North,Signalling,TC - Impulse,14,18.0,3.0,0.0
LNW North,Signalling,RCS - TDM,15,18.0,1.0,0.0
LNW North,Signalling,Intlok Relay,8,18.0,8.0,0.0
LNW North,Fixed Plant,Light InstalSys,13,17.0,0.0,0.0
LNW South,Distribution,Building,16,17.0,0.0,0.0
LNW South,Telecoms,Telecoms Operational CCTV,14,17.0,3.0,0.0
LNW South,Signage,Reflective Sign,16,16.0,0.0,0.0
LNW South,Fixed Plant,Light InstalSys,14,16.0,0.0,0.0
LNW South,Fixed Plant,Point Heater,15,15.0,0.0,0.0
LNW South,Signalling,Mechanical Lever Equipment,8,15.0,1.0,0.0
LNW South,Signalling,Sig - Semaphore,10,15.0,3.0,0.0
LNW South,Signalling,Telemetry,15,15.0,0.0,0.0
LNW South,Telecoms,Telecoms Remote Monitoring,6,14.0,0.0,0.0
LNW North,Telecoms,Telecoms Circuit,11,13.0,0.0,0.0
LNW South,Signalling,Recorders,12,13.0,0.0,8.33
LNW South,Signalling,Route Ind Jcn,13,13.0,4.0,0.0
LNW North,Distribution,Circuit Short Devices,11,12.0,0.0,0.0
LNW North,Signalling,Route Ind Thr,10,11.0,3.0,0.0
LNW North,Track,Overbridge,11,11.0,1.0,0.0
LNW North,Level Crossing,Level Xing Gate,5,10.0,0.0,0.0
LNW North,Signalling,Intlok Elec,3,10.0,0.0,0.0
LNW South,Overhead Line Equipment,OLE Disconnectors,8,10.0,0.0,0.0
LNW North,Distribution,SCADA Remote Terminal Units,8,10.0,0.0,0.0
LNW South,Signalling,Train Stop,7,10.0,8.0,0.0
LNW South,Conductor Rail Equipment,KF - Manual Sectioning Device,5,9.0,3.0,0.0
LNW South,Fixed Plant,Diesel Alternator Set,9,9.0,1.0,0.0
LNW North,Signalling,Intlok Relay NG,5,9.0,5.0,0.0
LNW North,Distribution,JV - 25kV Switching Station,6,9.0,0.0,0.0
LNW North,Track,Reflective Sign,8,8.0,1.0,0.0
LNW South,Distribution,Transformers,8,8.0,0.0,0.0
LNW South,Telecoms,Telecoms Recording Equipment,7,8.0,0.0,0.0
LNW South,Track,Illum Signs,7,8.0,0.0,0.0
LNW North,Fixed Plant,Water Pumping Systems/Sets,8,8.0,0.0,0.0
LNW North,Signalling,Telemetry,7,7.0,1.0,57.14
LNW North,Track,End Stop,6,7.0,1.0,0.0
LNW South,Signalling,Route Ind Thr,7,7.0,2.0,0.0
LNW South,Signalling,Route Ind Sten,7,7.0,3.0,0.0
LNW South,Buildings & Structures,Equip Support,7,7.0,0.0,0.0
LNW North,Distribution,Transformers,6,7.0,0.0,0.0
LNW North,Signalling,Sig - Ban'r Rep,5,7.0,0.0,0.0
LNW North,Track,Marker Post,7,7.0,0.0,0.0
LNW South,Fixed Plant,Point Heating Control Cabinet,6,6.0,1.0,83.33
LNW South,Buildings & Structures,Signal Box,5,6.0,0.0,0.0
LNW North,Distribution,KA - AC High Voltage Cable,5,6.0,0.0,0.0
LNW North,Track,RAIL FRICTION,6,6.0,0.0,0.0
LNW South,Level Crossing,Xing Warn Light,5,6.0,1.0,0.0
LNW North,Fixed Plant,Diesel Alternator Set,5,5.0,1.0,0.0
LNW South,Telecoms,Internet Protocol,5,5.0,0.0,0.0
LNW South,Track,Marker Post,4,5.0,0.0,0.0
LNW North,Overhead Line Equipment,QJ - Neutral Section,5,5.0,1.0,0.0
LNW North,Signalling,Intlok Mech,4,4.0,2.0,0.0
LNW South,Telecoms,Traction Supervisory Eqpt,4,4.0,0.0,0.0
LNW South,Track,End Stop,3,4.0,0.0,0.0
LNW South,Signalling,Intlok Elec,4,4.0,1.0,0.0
LNW South,Signalling,Building,4,4.0,0.0,0.0
LNW South,Signalling,Lockout,2,4.0,0.0,0.0
LNW South,Telecoms,Telecoms Circuit,3,3.0,0.0,0.0
LNW South,Telecoms,Virtual Telecoms Assets,3,3.0,1.0,0.0
LNW South,Fixed Plant,Building,3,3.0,0.0,0.0
LNW North,Track,Illum Signs,3,3.0,0.0,0.0
LNW South,Track,Ex Bridge,3,3.0,1.0,0.0
LNW North,Signalling,RCS - Reed FDM,3,3.0,0.0,0.0
LNW South,Track,RAIL FRICTION,3,3.0,0.0,0.0
LNW North,Fixed Plant,Building,3,3.0,0.0,0.0
LNW North,Signalling,Reflective Sign,3,3.0,0.0,0.0
LNW North,Telecoms,Telecoms Operational CCTV,3,3.0,0.0,0.0
LNW North,Telecoms,Internet Protocol,3,3.0,0.0,0.0
LNW North,Track,Tunnel Bore,2,3.0,0.0,0.0
LNW South,Signalling,PSR Magnet,3,3.0,1.0,0.0
LNW South,Distribution,JW - Traction Location,2,2.0,1.0,0.0
LNW South,Distribution,SCADA Remote Terminal Units,1,2.0,0.0,0.0
LNW South,Fixed Plant,Water Pumping Systems/Sets,2,2.0,0.0,0.0
LNW South,Track,Sidebridge,2,2.0,0.0,0.0
LNW South,Signalling,Ground Switch Panel,1,2.0,0.0,0.0
LNW South,Signalling,Intlok Relay,2,2.0,0.0,0.0
LNW South,Signalling,Reflective Sign,2,2.0,0.0,0.0
LNW North,Signalling,Sig - LED,1,2.0,0.0,0.0
LNW South,Telecoms,TELECOMS CABLE - LINESIDE EQU,2,2.0,0.0,0.0
LNW North,Telecoms,Telecoms Ops Lineside CCTV,2,2.0,0.0,0.0
LNW North,Telecoms,Telecoms Mast,2,2.0,0.0,0.0
LNW North,Signalling,Train Stop,2,2.0,0.0,0.0
LNW North,Distribution,Building,2,2.0,0.0,0.0
LNW North,Signalling,TC Interrupter,1,2.0,0.0,0.0
LNW South,Distribution,HV Switches & Isolators,1,2.0,0.0,0.0
LNW South,Distribution,KL - Harmonic Damper,2,2.0,0.0,0.0
LNW South,Signalling,Sigcont Comb,1,1.0,0.0,0.0
LNW South,Level Crossing,Level Xing Gate,1,1.0,0.0,0.0
LNW South,Signalling,RCS - TDM,1,1.0,0.0,0.0
LNW North,Overhead Line Equipment,OLE Disconnectors,1,1.0,0.0,0.0
LNW North,Fixed Plant,Isolator notOLE,1,1.0,0.0,0.0
LNW South,Signalling,Intlok Relay NG,1,1.0,0.0,0.0
LNW South,Telecoms,Telecoms PABX Exchange,1,1.0,0.0,0.0
LNW North,Distribution,HV Switches & Isolators,1,1.0,0.0,0.0
LNW North,Distribution,Dist Ctrl Panel,1,1.0,0.0,0.0
LNW South,Signalling,Intlok Mech,1,1.0,0.0,0.0
LNW South,Buildings & Structures,Retaining Wall,1,1.0,1.0,0.0
LNW South,Signalling,BALISE Equipment,1,1.0,0.0,0.0
LNW North,Telecoms,TELECOMS CABLE - LINESIDE EQU,1,1.0,1.0,0.0
LNW North,Signalling,Intlok Elecmech,1,1.0,1.0,0.0
LNW North,Signalling,Ground Switch Panel,1,1.0,0.0,0.0
LNW South,Distribution,SR - Earthing System,1,1.0,0.0,0.0
LNW North,Overhead Line Equipment,Transformers,1,1.0,0.0,0.0
LNW North,Fixed Plant,Point Heating Control Cabinet,1,1.0,0.0,100.0
LNW North,Signalling,TOWS,1,1.0,0.0,0.0
LNW North,Signalling,Signalling Cable,1,1.0,1.0,0.0
LNW South,Signalling,Signalling Cable,1,1.0,0.0,0.0
LNW North,Telecoms,Traction Supervisory Eqpt,1,1.0,0.0,0.0
LNW North,Distribution,KL - Harmonic Damper,1,1.0,0.0,0.0
LNW South,Signalling,TC Interrupter,1,1.0,1.0,0.0
LNW South,Signalling,Sig - LED,1,1.0,0.0,0.0
LNW North,Buildings & Structures,Equip Support,1,1.0,0.0,0.0
LNW North,Telecoms,Telecoms PABX Exchange,1,1.0,0.0,0.0
LNW South,Overhead Line Equipment,QJ - Neutral Section,1,1.0,1.0,0.0
LNW South,Signalling,Trip Cock Test,1,1.0,1.0,0.0
