Event,Time
Failed (Fault Number: 879603),2020-01-24 12:57:19
Reported,2020-01-24 12:59:45
RUGBY FLT TM Advised,2020-01-24 14:13:07
RUGBY FLT TM Arrived,2020-02-05 08:40:00
RUGBY FLT TM Work Commenced,2020-02-05 08:45:00
RUGBY FLT TM Work Completed,2020-02-08 07:20:00
In Order,2020-02-08 07:20:01
Rectified,2020-02-08 07:20:01
Amended,2020-02-17 06:02:09
Coded,2020-02-17 06:02:09
