Event,Time
Failed (Fault Number: 893459),2020-06-07 11:20:45
Reported,2020-06-07 11:22:21
RUGBY FLT TM Advised,2020-06-07 11:22:25
RUGBY FLIGHT ENGINEERS Advised,2020-06-07 11:22:44
RUGBY FLT TM Arrived,2020-06-07 12:10:31
RUGBY FLT TM Work Completed,2020-06-07 15:49:07
In Order,2020-06-07 15:49:08
Rectified,2020-06-07 15:49:08
Amended,2020-08-06 11:00:24
Coded,2020-08-06 11:00:24
