Event,Time
Failed,2020-03-16 20:33:13
Reported,2020-03-16 20:38:53
NOT ATTENDED Advised,2020-03-16 21:05:20
NOT ATTENDED Arrived,2020-03-17 01:49:54
NOT ATTENDED Work Completed,2020-03-17 01:49:55
In Order,2020-03-17 01:49:56
Rectified,2020-03-17 01:49:57
Amended,2020-04-16 23:45:47
Coded,2020-04-16 23:45:47
