Event,Time
Failed,2020-05-29 08:23:25
Reported,2020-05-29 08:30:57
SALTLEY S&T MANAGER Advised,2020-06-01 05:50:09
SALTLEY S&T MANAGER Arrived,2020-10-09 12:26:36
SALTLEY S&T MANAGER Work Completed,2020-10-09 12:26:45
In Order,2020-10-09 12:26:50
Rectified,2020-10-09 12:26:50
Amended,2020-10-14 09:59:32
Coded,2020-10-14 09:59:32
