asset,attribute,date,records_count
DCLINE_CWJ_P520,Average_Current_NR,2020-01-24,4
DCLINE_CWJ_P520,Average_Current_NR,2020-02-06,4
DCLINE_CWJ_P520,Average_Current_NR,2020-02-07,2
DCLINE_CWJ_P520,Average_Current_NR,2020-02-21,4
DCLINE_CWJ_P520,Average_Current_NR,2020-05-15,4
DCLINE_CWJ_P520,Average_Current_RN,2020-01-24,4
DCLINE_CWJ_P520,Average_Current_RN,2020-02-06,4
DCLINE_CWJ_P520,Average_Current_RN,2020-02-07,2
DCLINE_CWJ_P520,Average_Current_RN,2020-02-21,4
DCLINE_CWJ_P520,Average_Current_RN,2020-05-15,4
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-01,22440
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-02,19950
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-03,23513
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-04,21915
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-05,19661
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-06,22804
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-07,20818
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-08,21510
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-09,22915
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-10,18123
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-11,18905
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-12,18604
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-13,16815
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-14,17139
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-15,19928
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-16,14663
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-17,20409
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-18,17647
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-19,19361
DCLINE_CWJ_P520,Current_Waveform_NR,2020-01-20,19510
