Event,Time
Failed (Fault Number: 894526),2020-06-16 17:31:46
Reported,2020-06-16 17:32:45
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-06-16 17:34:02
STAFFORD FLT TM Advised,2020-06-16 17:47:10
Amended,2020-08-06 11:35:49
Coded,2020-08-06 11:35:49
