Event,Time
Failed (Fault Number: 894750),2020-06-18 08:12:06
Reported,2020-06-18 08:15:31
STAFFORD FLT TM Advised,2020-06-18 08:19:29
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-06-18 08:19:39
STAFFORD FLT TM Arrived,2020-07-02 06:26:43
STAFFORD FLT TM Work Completed,2020-07-02 06:26:45
In Order,2020-07-02 06:26:46
Rectified,2020-07-02 06:26:47
Amended,2020-08-06 11:34:07
Coded,2020-08-06 11:34:07
