Event,Time
Failed,2020-01-07 08:47:11
Reported,2020-01-07 08:50:15
STOKE CONTROL CENTRE TECHNICIAN Advised,2020-01-07 08:51:37
STOKE CONTROL CENTRE TECHNICIAN Arrived,2020-01-07 08:51:38
STAFFORD FLT TM Advised,2020-01-07 08:51:42
STAFFORD FLT TM Arrived,2020-01-07 08:57:36
STAFFORD DU RAIL LUBRICATORS Advised,2020-01-10 11:25:48
STAFFORD FLT TM Advised,2020-01-14 09:37:35
STAFFORD FLT TM Arrived,2020-01-16 09:14:08
STAFFORD FLT TM Work Completed,2020-01-16 09:14:10
In Order,2020-01-16 09:14:11
Rectified,2020-01-16 09:14:13
Coded,2020-01-16 09:15:22
Amended,2020-01-16 09:15:23
