Event,Time
Failed (Fault Number: 887084),2020-04-03 08:42:06
Reported,2020-04-03 08:45:49
SALTLEY S&T MANAGER Advised,2020-04-03 10:36:44
SALTLEY S&T MANAGER Arrived,2020-05-14 12:51:00
SALTLEY S&T MANAGER Work Commenced,2020-05-14 13:16:00
SALTLEY S&T MANAGER Work Completed,2020-05-19 12:51:00
In Order,2020-05-19 12:51:01
Rectified,2020-05-19 12:51:01
Amended,2020-05-27 19:44:42
Coded,2020-05-27 19:44:42
