Event,Time
Failed (Fault Number: 890321),2020-05-09 20:31:19
Reported,2020-05-09 20:34:05
RUGBY FLIGHT ENGINEERS Advised,2020-05-09 20:36:28
RUGBY FLT TM Advised,2020-05-09 20:41:56
RUGBY FLT TM Arrived,2020-05-09 21:24:00
RUGBY FLT TM Work Commenced,2020-05-09 22:29:00
RUGBY FLT TM Work Completed,2020-05-10 00:32:00
In Order,2020-05-10 04:05:17
Rectified,2020-05-10 04:05:18
Amended,2020-06-05 01:54:57
Coded,2020-06-05 01:54:57
